"ST","PWGTP","AGEP","CIT","COW","SCHL","SEX","WAGP","ESR","FOD1P","INDP","NAICSP","POWSP"
1,152,49,1,"Private profit","Bachelor's Degree","Male",30000,"Employed","COMPUTER SCIENCE",4770,"442",1
1,103,44,1,"Self-employed","Bachelor's Degree","Male",125000,"Employed","FINANCE",6890,"522M",1
1,17,78,1,NA,"Master's Degree","Male",0,"Not in labor force","FINANCE",NA,"",NA
1,114,43,1,"Self-employed","Master's Degree","Female",0,"Employed","MATH",7890,"611M3",1
1,26,46,4,"Federal government","Professional degree","Female",120000,"Employed","FINANCE",9680,"928110P2",1
1,82,47,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
1,43,36,1,"State government","Master's Degree","Female",50000,"Employed","MATH",7870,"611M1",1
1,108,51,1,"Private profit","Bachelor's Degree","Female",33000,"Employed","MATH",7970,"6211",1
1,19,56,1,"Private profit","Bachelor's Degree","Male",56000,"Employed","MATH",8870,"8113",1
1,17,70,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,101,39,1,"Private profit","Bachelor's Degree","Male",40000,"Employed","FINANCE",7290,"5413",1
1,59,53,1,"Local government","Bachelor's Degree","Female",900,"Not in labor force","COMPUTER SCIENCE",7860,"6111",NA
1,112,66,1,"Private profit","Bachelor's Degree","Female",0,"Not in labor force","MATH",6890,"522M",NA
1,64,66,1,"State government","Doctorate degree","Male",322000,"Employed","MATH",7870,"611M1",1
1,66,48,1,"Private non-profit","Bachelor's Degree","Female",1200,"Employed","MATH",5170,"4481",1
1,151,22,1,"Private profit","Bachelor's Degree","Female",15000,"Employed","MATH",7280,"5412",13
1,73,59,1,"Federal government","Master's Degree","Male",80000,"Employed","COMPUTER SCIENCE",9590,"928P",1
1,75,45,5,"Private profit","Bachelor's Degree","Female",25200,"Employed","COMPUTER SCIENCE",8680,"722Z",1
1,88,23,1,"Private non-profit","Bachelor's Degree","Male",20000,"Employed","MATH",6880,"5221M",1
1,48,42,1,"Private profit","Bachelor's Degree","Male",98000,"Employed","COMPUTER SCIENCE",7290,"5413",1
1,13,67,1,"Self-employed","Bachelor's Degree","Male",0,"Not in labor force","MATH",4265,"4237",NA
1,16,29,1,"State government","Bachelor's Degree","Male",50000,"Employed","MATH",7860,"6111",1
1,135,46,1,"State government","Master's Degree","Male",73000,"Employed","MATH",7870,"611M1",1
1,60,32,1,"Federal government","Bachelor's Degree","Male",35000,"Employed","FINANCE",9480,"923",1
1,148,34,1,"Private profit","Bachelor's Degree","Male",110000,"Employed","COMPUTER SCIENCE",6870,"52M1",1
1,58,26,5,"Private profit","Bachelor's Degree","Male",100000,"Employed","COMPUTER SCIENCE",6990,"524",1
1,110,36,1,"Federal government","Bachelor's Degree","Female",40000,"Employed","COMPUTER SCIENCE",9590,"928P",1
1,51,30,5,"Private profit","Master's Degree","Male",24300,"Employed","MATH",8180,"621M",1
1,92,65,1,"Private profit","Bachelor's Degree","Male",3000,"Employed/Not at work","MATH",3990,"3MS",NA
1,86,53,1,"Private profit","Professional degree","Male",322000,"Employed","FINANCE",7070,"531",1
1,118,54,1,"Private profit","Bachelor's Degree","Male",100000,"Employed","COMPUTER SCIENCE",7380,"5415",1
1,78,42,1,"Private profit","Bachelor's Degree","Female",89000,"Employed","FINANCE",7390,"5416",1
1,110,38,1,"Self-employed","Bachelor's Degree","Female",1200,"Not in labor force","FINANCE",7390,"5416",NA
1,126,41,1,"Private profit","Bachelor's Degree","Male",74000,"Employed","COMPUTER SCIENCE",7380,"5415",1
1,76,67,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,66,42,1,"Private profit","Bachelor's Degree","Male",21000,"Unemployed","FINANCE",7070,"531",NA
1,125,48,1,"Self-employed","Professional degree","Male",0,"Employed","FINANCE",7270,"5411",1
1,58,33,1,"Private profit","Master's Degree","Male",322000,"Employed","FINANCE",6970,"52M2",1
1,148,29,1,"Private profit","Bachelor's Degree","Male",75000,"Employed","FINANCE",4070,"4231",1
1,58,35,1,"State government","Doctorate degree","Male",85000,"Employed","MATH",7870,"611M1",1
1,71,43,1,"Self-employed","Professional degree","Male",322000,"Employed","FINANCE",7270,"5411",1
1,103,58,1,"Private profit","Master's Degree","Female",95000,"Employed","COMPUTER SCIENCE",7290,"5413",1
1,86,58,1,"Private profit","Master's Degree","Male",111000,"Employed","COMPUTER SCIENCE",7290,"5413",1
1,100,33,1,"Private profit","Bachelor's Degree","Male",50000,"Employed","FINANCE",6970,"52M2",1
1,74,40,1,"Private profit","Bachelor's Degree","Male",172000,"Employed","COMPUTER SCIENCE",7380,"5415",1
1,128,61,1,"Private profit","Doctorate degree","Male",160000,"Employed","STATISTICS",1570,"31411",1
1,15,64,1,"Private profit","Master's Degree","Male",322000,"Employed","FINANCE",4670,"4411",1
1,15,31,1,"Private non-profit","Bachelor's Degree","Female",48000,"Employed","FINANCE",570,"2211P",12
1,8,22,5,"Private profit","Bachelor's Degree","Female",4000,"Employed","COMPUTER SCIENCE",7870,"611M1",1
1,94,54,1,"Private profit","Bachelor's Degree","Male",75000,"Employed","COMPUTER SCIENCE",4195,"4236",1
1,44,46,1,"Private profit","Bachelor's Degree","Female",12400,"Unemployed","COMPUTER SCIENCE",7460,"5417",NA
1,138,32,1,"Private profit","Bachelor's Degree","Female",33000,"Employed","FINANCE",7070,"531",1
1,92,27,1,"Private profit","Master's Degree","Male",25000,"Employed","FINANCE",6970,"52M2",28
1,110,49,1,"State government","Bachelor's Degree","Male",75000,"Employed","FINANCE",9570,"92M2",1
1,95,33,1,"Private profit","Professional degree","Male",0,"Unemployed","COMPUTER SCIENCE",3980,"3399ZM",NA
1,105,65,1,"Private profit","Bachelor's Degree","Female",0,"Not in labor force","MATH",7380,"5415",NA
1,213,39,1,"State government","Master's Degree","Female",65000,"Employed","MATH",7870,"611M1",1
1,117,41,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
1,106,31,1,"Private profit","Bachelor's Degree","Male",53000,"Employed","FINANCE",6990,"524",1
1,64,44,1,"Private profit","Bachelor's Degree","Male",90000,"Employed","MATH",7380,"5415",1
1,139,25,1,"Private profit","Bachelor's Degree","Female",28000,"Employed","FINANCE",7870,"611M1",1
1,29,43,1,"Federal government","Bachelor's Degree","Female",40000,"Employed","FINANCE",9470,"92MP",1
1,81,49,1,"Private profit","Doctorate degree","Male",0,"Not in labor force","FINANCE",4070,"4231",NA
1,88,33,1,"Private profit","Bachelor's Degree","Male",60000,"Employed","FINANCE",5790,"4MS",1
1,12,31,1,"Private profit","Bachelor's Degree","Male",70000,"Employed","STATISTICS",7380,"5415",1
1,115,34,3,"Private profit","Bachelor's Degree","Male",55000,"Employed","STATISTICS",4795,"443142",1
1,394,38,1,"Private profit","Bachelor's Degree","Female",43000,"Employed","FINANCE",7860,"6111",1
1,48,72,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,164,32,1,"State government","Doctorate degree","Female",50000,"Employed","FINANCE",7870,"611M1",1
1,16,72,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
1,122,49,1,"Private non-profit","Bachelor's Degree","Female",23100,"Employed","FINANCE",7870,"611M1",1
1,48,70,1,NA,"Master's Degree","Female",0,"Not in labor force","MATH",NA,"",NA
1,148,35,1,"Private profit","Bachelor's Degree","Female",50000,"Employed","FINANCE",6870,"52M1",1
1,80,36,1,"Private profit","Master's Degree","Male",105000,"Employed","COMPUTER SCIENCE",7380,"5415",1
1,144,47,1,"Private profit","Bachelor's Degree","Male",4000,"Employed","MATH",2870,"332M",1
1,64,44,1,"Private profit","Bachelor's Degree","Male",322000,"Employed","FINANCE",6970,"52M2",1
1,50,34,1,"Federal government","Bachelor's Degree","Female",86000,"Employed","MATH",7870,"611M1",1
1,79,40,1,"Private profit","Bachelor's Degree","Male",85000,"Employed","STATISTICS",7380,"5415",1
1,44,54,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","FINANCE",NA,"",NA
1,77,38,1,"Self-employed","Bachelor's Degree","Female",0,"Employed","FINANCE",770,"23",1
1,81,28,1,"Private profit","Bachelor's Degree","Female",8700,"Employed","FINANCE",4970,"4451",1
1,82,38,4,"State government","Master's Degree","Female",92000,"Employed","COMPUTER SCIENCE",9480,"923",1
1,89,50,1,"Local government","Professional degree","Male",93000,"Employed","MATH",7860,"6111",1
1,332,22,1,"Private profit","Bachelor's Degree","Male",0,"Not in labor force","MATH",4970,"4451",NA
1,111,65,1,"Private profit","Bachelor's Degree","Male",42600,"Employed","COMPUTER SCIENCE",3095,"3333",1
1,125,45,1,"Private non-profit","Bachelor's Degree","Female",58000,"Employed","MATH",7860,"6111",1
1,28,73,1,"Private profit","Professional degree","Male",0,"Not in labor force","MATH",7870,"611M1",NA
1,50,40,1,"Private non-profit","Bachelor's Degree","Female",1600,"Employed","STATISTICS",9160,"8131",1
1,67,60,1,"Self-employed","Professional degree","Male",322000,"Employed","FINANCE",7270,"5411",1
1,101,24,1,"State government","Master's Degree","Male",15000,"Employed","MATH",7870,"611M1",1
1,185,23,1,"Private profit","Bachelor's Degree","Male",8600,"Employed","MATH",4870,"4441Z",1
1,21,61,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","FINANCE",NA,"",NA
1,81,63,1,"Private non-profit","Bachelor's Degree","Male",125000,"Not in labor force","FINANCE",6880,"5221M",NA
1,14,67,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","STATISTICS",NA,"",NA
1,85,71,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,87,54,4,NA,"Bachelor's Degree","Female",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
1,70,65,1,"Private profit","Master's Degree","Female",8200,"Employed","MATH",6870,"52M1",1
1,63,55,1,"State government","Bachelor's Degree","Female",18000,"Employed","MATH",7860,"6111",1
1,129,42,1,"Federal government","Bachelor's Degree","Male",70000,"Employed","STATISTICS",9590,"928P",1
1,58,61,1,"Private non-profit","Master's Degree","Male",50000,"Employed","MATH",9160,"8131",1
1,137,39,1,"Private profit","Master's Degree","Male",110000,"Employed","FINANCE",7380,"5415",1
1,143,39,1,"Private profit","Master's Degree","Female",175000,"Employed","FINANCE",6870,"52M1",1
1,13,33,1,"Private profit","Bachelor's Degree","Male",100000,"Employed","FINANCE",4795,"443142",1
1,87,89,1,NA,"Master's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,57,62,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","MATH",NA,"",NA
1,120,32,1,"Private profit","Bachelor's Degree","Female",69000,"Employed","FINANCE",7290,"5413",1
1,59,80,1,"Self-employed","Master's Degree","Female",0,"Not in labor force","MATH",7280,"5412",NA
1,74,48,1,"Self-employed","Professional degree","Male",322000,"Employed","FINANCE",7270,"5411",1
1,80,33,1,"Private profit","Bachelor's Degree","Male",44000,"Employed","FINANCE",4470,"4244",1
1,11,64,1,"Private profit","Bachelor's Degree","Male",0,"Not in labor force","COMPUTER SCIENCE",3590,"33641M2",NA
1,132,39,1,"Private profit","Bachelor's Degree","Male",100000,"Employed","COMPUTER SCIENCE",7380,"5415",1
1,64,29,4,"Private profit","Bachelor's Degree","Male",65000,"Employed","COMPUTER SCIENCE",6170,"484",1
1,47,35,1,"Private profit","Bachelor's Degree","Male",85000,"Employed","COMPUTER SCIENCE",6870,"52M1",1
1,54,27,1,"State government","Master's Degree","Female",48000,"Employed","MATH",7860,"6111",1
1,58,59,1,"Private profit","Bachelor's Degree","Female",45000,"Employed","FINANCE",7380,"5415",1
1,119,60,1,"Private profit","Master's Degree","Male",51000,"Employed","STATISTICS",7780,"561M",1
1,49,47,1,"Private non-profit","Bachelor's Degree","Male",322000,"Employed","FINANCE",6990,"524",47
1,185,35,1,"Private profit","Master's Degree","Female",110000,"Employed","MATH",6680,"5171",1
1,151,37,1,"Private profit","Bachelor's Degree","Male",78000,"Employed","STATISTICS",6680,"5171",1
1,135,56,1,"State government","Bachelor's Degree","Male",74000,"Employed","COMPUTER SCIENCE",9480,"923",1
1,172,31,4,"Private profit","Bachelor's Degree","Female",30000,"Employed","FINANCE",6870,"52M1",1
1,195,32,1,"Private profit","Master's Degree","Female",49900,"Employed","COMPUTER SCIENCE",3590,"33641M2",1
1,113,44,1,"State government","Bachelor's Degree","Female",36500,"Employed","STATISTICS",7870,"611M1",1
1,13,67,1,"Private profit","Master's Degree","Male",24000,"Employed","MATH",7890,"611M3",1
1,69,61,1,"Private profit","Bachelor's Degree","Male",123000,"Employed","FINANCE",5790,"4MS",1
1,19,78,1,NA,"Professional degree","Male",0,"Not in labor force","FINANCE",NA,"",NA
1,109,68,1,"Private profit","Bachelor's Degree","Female",5000,"Not in labor force","MATH",7280,"5412",NA
1,546,23,1,"Private non-profit","Professional degree","Male",37300,"Employed","MATH",7870,"611M1",1
1,153,34,1,"Private profit","Bachelor's Degree","Male",94000,"Employed","STATISTICS",6970,"52M2",1
1,44,47,1,"Private profit","Bachelor's Degree","Male",60000,"Employed","COMPUTER SCIENCE",4380,"424M",1
1,88,26,1,"Private profit","Bachelor's Degree","Male",44000,"Employed","FINANCE",6890,"522M",1
1,174,26,1,"Private profit","Master's Degree","Male",31000,"Employed","FINANCE",6970,"52M2",1
1,132,69,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,126,27,1,"Private profit","Bachelor's Degree","Female",9700,"Employed","FINANCE",8680,"722Z",1
1,87,69,1,"Private non-profit","Bachelor's Degree","Male",0,"Not in labor force","MATH",7870,"611M1",NA
1,8,54,1,"State government","Master's Degree","Male",65000,"Employed","COMPUTER SCIENCE",7870,"611M1",1
1,408,45,1,"Private profit","Master's Degree","Male",63000,"Employed","MATH",2170,"3252",1
1,434,45,1,"State government","Master's Degree","Female",51000,"Employed","MATH",7860,"6111",1
1,83,58,1,"Private profit","Bachelor's Degree","Male",130000,"Employed","MATH",6970,"52M2",1
1,103,47,1,"Private profit","Bachelor's Degree","Male",82000,"Employed","COMPUTER SCIENCE",570,"2211P",1
1,34,78,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,216,42,1,"Private profit","Master's Degree","Female",31000,"Employed","FINANCE",6870,"52M1",1
1,123,54,1,NA,"Master's Degree","Female",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
1,90,32,1,"Private profit","Master's Degree","Male",100000,"Employed","FINANCE",6870,"52M1",1
1,61,55,1,"Private profit","Bachelor's Degree","Male",115000,"Employed","MATH",3590,"33641M2",1
1,243,44,1,"Private profit","Bachelor's Degree","Male",140000,"Employed","COMPUTER SCIENCE",7290,"5413",1
1,23,70,1,"Self-employed","Bachelor's Degree","Female",0,"Employed","FINANCE",5790,"4MS",1
1,98,46,1,"Local government","Professional degree","Male",84000,"Employed","FINANCE",9470,"92MP",1
1,197,65,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","FINANCE",NA,"",NA
1,68,60,1,"Federal government","Master's Degree","Male",0,"Not in labor force","FINANCE",9590,"928P",NA
1,154,41,1,"Private profit","Bachelor's Degree","Female",14000,"Employed","COMPUTER SCIENCE",7860,"6111",1
1,75,55,1,"Private non-profit","Bachelor's Degree","Male",130000,"Employed","COMPUTER SCIENCE",570,"2211P",1
1,112,51,1,"Private profit","Bachelor's Degree","Female",74000,"Employed","COMPUTER SCIENCE",3380,"3345",1
1,142,37,1,"Private non-profit","Master's Degree","Male",95000,"Employed","FINANCE",6880,"5221M",1
1,19,40,1,"Private profit","Bachelor's Degree","Male",78000,"Employed","COMPUTER SCIENCE",7380,"5415",1
1,83,60,1,"State government","Master's Degree","Female",40000,"Employed","MATH",9370,"9211MP",1
1,43,33,1,"Private profit","Bachelor's Degree","Male",68000,"Employed","FINANCE",4470,"4244",1
1,26,70,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,75,75,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,52,65,1,"Private profit","Master's Degree","Female",20000,"Not in labor force","MATH",7390,"5416",NA
1,43,66,1,"Private profit","Master's Degree","Male",322000,"Employed","MATH",6970,"52M2",1
1,91,55,1,"Private non-profit","Bachelor's Degree","Male",125000,"Employed","COMPUTER SCIENCE",7870,"611M1",1
1,113,46,1,"Private profit","Bachelor's Degree","Female",38000,"Employed","COMPUTER SCIENCE",7380,"5415",1
1,18,72,1,NA,"Master's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,13,63,1,"Local government","Bachelor's Degree","Female",33000,"Employed","MATH",7860,"6111",1
1,17,23,1,"Private profit","Bachelor's Degree","Male",44000,"Employed","FINANCE",6970,"52M2",1
1,165,44,1,"Private profit","Bachelor's Degree","Female",155000,"Employed","COMPUTER SCIENCE",7290,"5413",1
1,63,69,1,NA,"Master's Degree","Female",0,"Not in labor force","MATH",NA,"",NA
1,74,35,1,"Local government","Master's Degree","Male",12000,"Not in labor force","STATISTICS",7870,"611M1",NA
1,255,29,1,"State government","Bachelor's Degree","Male",45000,"Employed","FINANCE",9470,"92MP",1
1,30,35,1,"Private profit","Bachelor's Degree","Male",66000,"Employed","FINANCE",6990,"524",1
1,307,66,1,"Private profit","Master's Degree","Female",30000,"Employed","FINANCE",6870,"52M1",1
1,63,27,1,"Private profit","Bachelor's Degree","Male",65000,"Employed","COMPUTER SCIENCE",7380,"5415",1
1,19,48,1,"Private profit","Bachelor's Degree","Female",50000,"Employed","FINANCE",3960,"3391",1
1,111,29,1,"State government","Bachelor's Degree","Female",80000,"Employed","FINANCE",6890,"522M",1
1,87,50,1,"Private profit","Bachelor's Degree","Female",90000,"Employed","COMPUTER SCIENCE",7390,"5416",1
1,200,44,1,"Federal government","Master's Degree","Female",125000,"Employed","MATH",9590,"928P",1
1,88,46,1,"Private profit","Master's Degree","Male",95000,"Employed","FINANCE",7290,"5413",1
1,36,50,1,"Private profit","Doctorate degree","Male",322000,"Employed","FINANCE",7970,"6211",1
1,117,53,1,"Private profit","Bachelor's Degree","Female",55000,"Employed","FINANCE",6990,"524",1
1,159,32,1,"Private profit","Bachelor's Degree","Female",35000,"Employed","FINANCE",6870,"52M1",1
1,60,81,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","MATH",NA,"",NA
